model,n,ess,accuracy,mean_conf,ece,brier,nll,ece_w,brier_w,nll_w
qwen3.5:9b,821,276.4,0.4457978075517661,0.4471821846062763,0.05114700734158235,0.21371012876384485,0.6159133836374713,0.0801097919101738,0.18481710133867443,0.5421215964296343
qwen3.5:27b,821,276.4,0.6699147381242387,0.6172549630839551,0.05291258558251572,0.1778897915883623,0.5292477553468712,0.09418476420043298,0.1443677268926864,0.4407869134678063
gpt-5.4,821,276.4,0.6650426309378806,0.9415241420256615,0.2806571563607536,0.28092684616286906,1.9680664917421562,0.18876996983586794,0.19843978309167445,1.3120695958943784
