difficulty,n,ess,accuracy,mean_conf,ece,brier,nll,ece_w,brier_w,nll_w,mean_entropy,gap,accuracy_lo,accuracy_hi,ece_lo,ece_hi
hard,1479,1477.2,0.49898580121703856,0.6305228138043547,0.15612689864266904,0.2621747887972495,1.2493171621858543,0.15568402775937284,0.26162883098113304,1.2464695717889591,0.36947718619564524,0.13153701258731615,0.44066101785882006,0.5576826054914162,0.11967926869550191,0.2134633694212588
medium,819,772.6,0.7032967032967034,0.7143836522749696,0.0942906119800353,0.18273780644131535,0.8070527719034266,0.09428374634274186,0.1774820446918296,0.7660324208590905,0.2856163477250305,0.011086948978266231,0.6393008652553763,0.7609212033854456,0.07460667378473734,0.14256463894709426
easy,165,112.6,0.896969696969697,0.7834591880418632,0.12025264126115735,0.08924666183217159,0.2863247379677006,0.10089175803052082,0.08851373565007276,0.28247611314376986,0.21654081195813674,-0.11351050892783376,0.7816044846429245,0.9777777777777777,0.07654451684929882,0.19672883493492674
