rtype,n,ess,accuracy,mean_conf,ece,brier,nll,ece_w,brier_w,nll_w,mean_entropy,gap,accuracy_lo,accuracy_hi,ece_lo,ece_hi
T1,342,128.3,0.8450292397660819,0.7839011655860171,0.09684405093383228,0.12041202299074691,0.4819078365465239,0.0909180798675933,0.0646856634218454,0.2522930904327517,0.21609883441398287,-0.06112807418006483,0.7480198854061342,0.9232810085686192,0.06466405456087557,0.15954190425475107
T2,270,84.4,0.32222222222222224,0.6046541332687821,0.3058993471353767,0.3101219559886687,1.7568061777942872,0.29936390146497066,0.29821910374007293,1.5355992296817311,0.39534586673121785,0.2824319110465599,0.22477547740593687,0.42908989544490744,0.2299956670371858,0.39757149784147483
T3,516,153.5,0.36627906976744184,0.5850476460557156,0.21876857628827379,0.2802396192717376,1.3360860259586693,0.19288807866898572,0.2608441230949458,1.1188489514137572,0.4149523539442843,0.21876857628827373,0.2804714945297601,0.4507714078992168,0.16983371865849517,0.30879968016594017
T4,1335,800.3,0.6719101123595506,0.6843886283737901,0.11511393874141267,0.21170561182388392,0.919392769534392,0.1141250813856465,0.19218105804451333,0.8126107477427739,0.3156113716262099,0.012478516014239549,0.6004371704842743,0.7394175451288411,0.0950100163539477,0.15865900158124963
