model,n,ess,accuracy,mean_conf,ece,brier,nll,ece_w,brier_w,nll_w
qwen3.5:9b,1549,1532.8,0.5229180116204003,0.5179367279371413,0.08789442626946024,0.18815255930558755,0.5692354085139862,0.09034246148482752,0.19023841732463478,0.5756629879933645
qwen3.5:27b,1549,1532.8,0.643641058747579,0.6915832223126702,0.061727361907553305,0.15733718246307152,0.4823412777498669,0.06462490377480765,0.1602603151957658,0.4912387370675009
gpt-5.4,1541,1524.8,0.6878650227125244,0.8524079051880986,0.16454288247557453,0.18202172214645926,0.9294014605789375,0.16932287583086175,0.18602479504248387,0.9457963672883487
qwen3.6:27b,1549,1532.8,0.6307295029051001,0.6786642527429964,0.0621212688158992,0.1594238078012603,0.4974912688000216,0.06587782622992955,0.1628172510051499,0.5079456208527319
qwen3.6:35b,1549,1532.8,0.604906391220142,0.6676645320143847,0.09753792298140965,0.17743812324056224,0.5595398707294775,0.10251373983674651,0.18138914773346326,0.5718890277323301
