model,n,accuracy,mean_conf,mean_entropy,ece,gap
qwen3.5:9b,1549,0.5229180116204003,0.5179367279371413,0.4820632720628587,0.08789442626946024,-0.004981283683259008
qwen3.5:27b,1549,0.643641058747579,0.6915832223126702,0.3084167776873298,0.061727361907553305,0.04794216356509118
gpt-5.4,1541,0.6878650227125244,0.8524079051880986,0.14759209481190122,0.16454288247557453,0.16454288247557425
qwen3.6:27b,1549,0.6307295029051001,0.6786642527429964,0.3213357472570036,0.0621212688158992,0.04793474983789625
qwen3.6:35b,1549,0.604906391220142,0.6676645320143847,0.3323354679856155,0.09753792298140965,0.06275814079424269
