model,logprob_valid,acc_A,ECE_A,cov_A,acc_B,ECE_B,cov_B,acc_C,ECE_C,dECE_BA,dECE_AC,verdict
qwen3.5:9b,PASS,0.506,0.0919,0.912,-,-,-,0.442,0.0797,-,+0.0122,PASS
qwen3.5:27b,PASS,0.512,0.0596,0.888,-,-,-,0.528,0.0720,-,-0.0124,PASS
qwen3-vl:8b,PASS,0.086,0.2199,0.917,0.000,0.3176,-,0.124,0.2908,+0.0977,-0.0709,FAIL
qwen3-vl:30b,PASS,0.012,0.2320,0.914,0.000,0.3164,1.000,0.038,0.1302,+0.0844,+0.1018,FAIL
deepseek-r1:14b,PASS,0.202,0.0466,0.883,-,-,-,0.202,0.0367,-,+0.0099,PASS
gpt-oss:20b,FAIL,-,-,-,-,-,-,-,-,-,-,FAIL
gemma4:26b,PASS,0.246,0.1557,0.948,0.006,0.2148,1.000,0.060,0.0721,+0.0591,+0.0836,FAIL
gemma4:31b,PASS,0.340,0.1175,0.951,0.000,0.2500,-,0.160,0.1778,+0.1325,-0.0603,FAIL
gpt-5.4,PASS,0.434,0.0849,0.908,0.383,0.0869,0.880,0.270,0.0932,+0.0020,-0.0083,PASS
